[u'Conference on Information Sciences and Systems', u'CISS', 20]
[u'ACM Symposium on Parallelism in Algorithms and Architectures', u'SPAA', 20]
[u'Technical Symposium on Computer Science Education', u'SIGCSE', 20]
[u'International Symposium on Mixed and Augmented Reality', u'ISMAR', 20]
[u'IEEE International Symposium on Biomedical Imaging ', u'ISBI', 20]
[u'European Semantic Web Conference', u'ESWC', 20]
[u'International Conference on Interaction Sciences', u'ICIS', 20]
[u'Conference on Empirical Methods on Natural Language Processing and Computational Natural Language Learning', u'EMNLP-CoNLL', 20]
[u'International Symposium on Recent Advancesin Intrusion Detection', u'RAID', 20]
[u'International Journal of Geographical Information Science', u'IJGIS', 20]
[u'International Conference on Future Energy Systems', u'e-Energy', 20]
[u'International Conference on Automated Planning and Scheduling', u'ICAPS', 20]
[u'European Conference on Artificial Intelligence', u'ECAI', 20]
[u'International conference on Humanoid Robots', u'Humanoids', 20]
[u'European Symposiumon Research in Computer Security', u'ESORICS', 20]
[u'Annual Conference on Computational Learning Theory', u'COLT', 20]
[u'IEEE Symposium on Computational Intelligence and Games', u'CIG', 20]
[u'ACM International Conference on Ubiquitous Computing', u'UbiComp', 20]
[u'Theoretical Informatics and Applications', u'ITA', 20]
[u'IEEE International Conference on Program Comprehension', u'ICPC', 20]
[u'Computer Security Foundations Symposium', u'CSF', 20]
[u'Tangible and Embedded Interaction', u'TEI', 20]
[u'Passive and Active Measurement Conference', u'PAM', 20]
[u'Journal of Heuristics', u'J. Heuristics', 20]
[u'ACM Transactions on Multimedia Computing, Communications and Application', u'TOMCCAP', 20]
[u'SIAM Journal of Applied Mathematics', u'SIAP', 20]
[u'ACM Transactions on Computer-Human Interaction', u'TOCHI', 20]
[u'Theory and Practice of Logic Programming', u'TPLP', 20]
[u'International Journal of Communication Systems', u'IJCS', 20]
[u'International Journal of Intelligent Systems', u'IJIS', 20]
[u'IEEE Transactions on Cybernetics', u'TOC', 20]
[u'Journal of Automated Reasoning', u'JAR', 20]
[u'Signal Processing Systems', u'SPS', 20]
[u'Information Processing Letters', u'Inf. Process. Lett.', 20]
[u'IEEE Transaction on Haptics', u'ToH', 20]
[u'ACM Transactions on Embedded Computing Systems', u'TECS', 20]
[u'Computers & Electrical Engineering', u'CEE', 20]
[u'ACM Transactions on Knowledge Discovery from Data', u'TKDD', 20]
[u'Discrete Mathematics', u'DM', 19]
[u'Human Factors', u'HUM FACTORS', 19]
[u'Computing in Science and Engineering', u'C in S&E', 19]
[u'Wireless Personal Communications', u'WIREL PERS COMMUN', 19]
[u'Conference on middleware', u'Middleware', 19]
[u'Information Systems Frontiers', u'ISF', 19]
[u'ACM/Eurographics Symposium on Computer Animation', u'SCA', 19]
[u'Aspect-Oriented Software Development', u'AOSD', 19]
[u'International Conference on Parallel Processing', u'ICPP', 19]
[u'IEEE International Conference on Systems, Man, and Cybernetics', u'SMC', 19]
[u"RSA Conference, Cryptographers' Track", u'CT-RSA', 19]
[u'IEEE International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunication Systems', u'MASCOTS', 19]
[u'ACM/IEEE Joint Conference on Digital Libraries', u'JCDL', 19]
[u'ACM/IEEE International Symposium on Networks-on-Chip', u'NOCS', 19]
[u'Virtual Execution Environments', u'VEE', 19]
